cell_idx,type,n_pre_cell,pr1,pr2,pr3,n_fol_cell,fo1,fo2,fo3,jam_den,capacity,turn_l,turn_th,turn_r,phase,demand,intersection,approach,num_lane,seg_idx,ncell2int,detect_cell,cell2lane,direction,detect_cell_0,detect_cell_1,detect_cell_2,detect_cell_3,detect_cell_4
53,0,1,52,0,0,1,54,0,0,8.0,6.0,0,0,0,0,0.0,3,0,3,0,0,,"-897491920_0,-897491920_1,-897491920_2",nan,,,,,
54,0,1,53,0,0,1,55,0,0,8.0,6.0,0,0,0,0,0.0,3,0,3,0,0,,"-897491920_0,-897491920_1,-897491920_2",nan,,,,,
55,0,1,54,0,0,1,56,0,0,8.0,6.0,0,0,0,0,0.0,3,0,3,0,0,,"-897491920_0,-897491920_1,-897491920_2",nan,,,,,
56,0,1,55,0,0,1,57,0,0,8.0,6.0,0,0,0,0,0.0,3,0,3,0,0,,"-897491918_0,-897491918_1,-897491918_2",nan,,,,,
57,0,1,56,0,0,1,58,0,0,8.0,6.0,0,0,0,0,0.0,3,0,3,0,0,,"-897491918_0,-897491918_1,-897491918_2",nan,,,,,
58,4,1,57,0,0,0,0,0,0,99999.0,6.0,0,0,0,0,0.0,3,0,2,0,0,,nan,nan,,,,,
59,5,0,0,0,0,1,60,0,0,99999.0,99999.0,0,0,0,0,0.06,3,3,2,0,0,,nan,nan,,,,,
60,0,1,59,0,0,1,61,0,0,5.3,4.0,0,0,0,0,0.0,3,3,2,3,9,60,"1463257289_0,1463257289_1",nan,60,,,,
61,0,1,60,0,0,1,62,0,0,10.7,8.0,0,0,0,0,0.0,3,3,4,2,8,61,"411705024_0,411705024_1,411705024_2,411705024_3",nan,61,,,,
62,0,1,61,0,0,1,63,0,0,10.7,8.0,0,0,0,0,0.0,3,3,4,2,7,62,"411705024_0,411705024_1,411705024_2,411705024_3",nan,62,,,,
63,0,1,62,0,0,1,64,0,0,10.7,8.0,0,0,0,0,0.0,3,3,4,2,6,63,"411705024_0,411705024_1,411705024_2,411705024_3",nan,63,,,,
64,0,1,63,0,0,1,65,0,0,10.7,8.0,0,0,0,0,0.0,3,3,4,2,5,64,"411705024_0,411705024_1,411705024_2,411705024_3",nan,64,,,,
65,0,1,64,0,0,1,66,0,0,10.7,8.0,0,0,0,0,0.0,3,3,4,1,4,65,"411705024_0,411705024_1,411705024_2,411705024_3",nan,65,,,,
66,0,1,65,0,0,1,67,0,0,10.7,8.0,0,0,0,0,0.0,3,3,4,1,3,66,"411705024_0,411705024_1,411705024_2,411705024_3",nan,66,,,,
67,0,1,66,0,0,1,68,0,0,10.7,8.0,0,0,0,0,0.0,3,3,4,1,2,67,"478958407_0,478958407_1,478958407_2,478958407_3",nan,67,,,,
68,1,1,67,0,0,3,69,70,71,10.7,8.0,0.031,0.525,0.444,0,0.0,3,3,4,0,1,68,"478958407_0,478958407_1,478958407_2,478958407_3",nan,,,,,
69,2,1,68,0,0,1,17,0,0,2.7,2.0,0,0,0,3,0.0,3,3,1,0,1,69,222786843_0,r,,,,,
70,2,1,68,0,0,1,98,0,0,5.3,4.0,0,0,0,3,0.0,3,3,2,0,1,70,"-142178743_0,-142178743_1",th,,,,,
71,2,1,68,0,0,1,46,0,0,2.7,2.0,0,0,0,3,0.0,3,3,1,0,1,71,-412646493_0,l,,,,,
72,3,3,16,43,96,1,73,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"478958406_0,478958406_1",nan,,,,,
73,0,1,72,0,0,1,74,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"478958406_0,478958406_1",nan,,,,,
74,0,1,73,0,0,1,75,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"441190738_0,441190738_1",nan,,,,,
